adm1_en,adm1_pcode,adm1_ref,adm1alt1_en,adm1alt2_en,adm0_en,adm0_pcode,date,validon,validto,area_sqkm
Baringo,KE030,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,10889.2392578125
Bomet,KE036,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,2438.22021484375
Bungoma,KE039,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,3016.174072265625
Busia,KE040,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,1811.571655273438
Elgeyo-Marakwet,KE028,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,3008.39111328125
Embu,KE014,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,2823.697021484375
Garissa,KE007,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,43595.99609375
Homa Bay,KE043,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,4731.93505859375
Isiolo,KE011,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,25399.328125
Kajiado,KE034,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,21884.83984375
Kakamega,KE037,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,3008.01953125
Kericho,KE035,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,2513.210693359375
Kiambu,KE022,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,2542.9716796875
Kilifi,KE003,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,12599.2783203125
Kirinyaga,KE020,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,1475.279907226562
Kisii,KE045,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,1313.734375
Kisumu,KE042,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,2665.0361328125
Kitui,KE015,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,30456.810546875
Kwale,KE002,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,8266.029296875
Laikipia,KE031,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,9536.9208984375
Lamu,KE005,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,6047.02099609375
Machakos,KE016,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,6044.2587890625
Makueni,KE017,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,8174.853515625
Mandera,KE009,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,25979.271484375
Marsabit,KE010,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,76027.8359375
Meru,KE012,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,6992.54443359375
Migori,KE044,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,3144.298095703125
Mombasa,KE001,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,233.6081848144531
Murang'a,KE021,Muranga,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,2525.494873046875
Nairobi,KE047,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,707.54229736328125
Nandi,KE029,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,2835.78662109375
Narok,KE033,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,17912.185546875
Nyamira,KE046,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,897.15289306640625
Nyandarua,KE018,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,3266.725830078125
Nyeri,KE019,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,3334.57275390625
Samburu,KE025,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,21015.669921875
Siaya,KE041,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,3520.432861328125
Taita Taveta,KE006,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,17131.06640625
Tana River,KE004,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,39192.16796875
Tharaka-Nithi,KE013,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,2580.993408203125
Trans Nzoia,KE026,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,2484.703857421875
Turkana,KE023,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,70131.7421875
Uasin Gishu,KE027,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,3396.8388671875
Vihiga,KE038,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,560.46856689453125
Wajir,KE008,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,56668.58984375
West Pokot,KE024,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,9305.5087890625
Nakuru,KE032,NA,NA,NA,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,7487.072265625
